,locality,proprety_type,price,bedrooms,area,equipped_kitchen,furnished,terrace,terrace_area,garden,garden_area,surface,surface_plot,facades,state,swimming_pool
42,1008,272,45000,2.0,201.43684820393972,1,0.0,0.0,0.0,0.0,0.0,201.43684820393972,831.0,2.0,6,0.0
43,1008,272,45000,2.0,201.43684820393972,1,0.0,0.0,0.0,0.0,0.0,201.43684820393972,890.0,2.0,6,0.0
44,1596,156,45000,2.0,100.0,1,0.0,0.0,0.0,0.0,0.0,100.0,80.0,2.0,6,0.0
45,1077,18,45000,2.0,201.43684820393972,1,0.0,0.0,0.0,0.0,0.0,201.43684820393972,201.43684820393972,2.0,6,0.0
46,1100,156,45000,2.0,60.0,1,0.0,0.0,0.0,0.0,0.0,60.0,332.0,2.0,6,0.0
47,1100,156,45000,1.0,70.0,1,0.0,0.0,0.0,0.0,0.0,70.0,70.0,2.0,6,0.0
48,1531,441,45000,2.0,201.43684820393972,1,0.0,0.0,0.0,0.0,0.0,201.43684820393972,201.43684820393972,2.0,6,0.0
49,999,156,45000,2.0,150.0,1,0.0,0.0,0.0,0.0,0.0,150.0,250.0,2.0,4,0.0
50,1090,156,45000,3.0,100.0,2,0.0,0.0,0.0,0.0,0.0,100.0,340.0,2.0,6,0.0
51,1034,156,45000,1.0,201.43684820393972,1,0.0,0.0,0.0,0.0,0.0,201.43684820393972,1101.0,3.0,5,0.0
52,1115,156,45000,4.0,201.43684820393972,1,0.0,0.0,0.0,0.0,0.0,201.43684820393972,184.0,3.0,3,0.0
53,1218,156,45000,2.0,201.43684820393972,1,0.0,0.0,0.0,1.0,270.0,201.43684820393972,310.0,4.0,5,0.0
54,1574,156,45000,2.0,201.43684820393972,2,0.0,0.0,0.0,0.0,0.0,201.43684820393972,155.0,2.0,6,0.0
55,1539,156,45000,3.0,201.43684820393972,1,0.0,0.0,0.0,0.0,0.0,201.43684820393972,201.43684820393972,2.0,6,0.0
56,1083,156,45000,2.0,201.43684820393972,1,0.0,0.0,0.0,0.0,0.0,201.43684820393972,201.43684820393972,2.0,6,0.0
57,1228,156,45000,2.0,95.0,1,0.0,0.0,0.0,0.0,0.0,95.0,95.0,2.0,6,0.0
58,655,156,46000,5.0,341.0,3,0.0,1.0,11.0,1.0,950.0,341.0,1345.0,4.0,3,0.0
59,1449,156,46000,2.0,63.0,1,0.0,0.0,0.0,0.0,0.0,63.0,35.0,2.0,4,0.0
60,733,237,47000,2.0,201.43684820393972,1,0.0,0.0,0.0,0.0,0.0,201.43684820393972,201.43684820393972,2.0,6,0.0
61,1607,156,49000,2.0,102.0,2,0.0,0.0,0.0,0.0,0.0,102.0,330.0,3.0,5,0.0
62,1100,156,49000,2.0,85.0,2,0.0,0.0,0.0,0.0,0.0,85.0,78.0,2.0,4,0.0
63,1638,156,49000,1.0,201.43684820393972,1,0.0,0.0,0.0,1.0,500.0,201.43684820393972,570.0,2.0,5,0.0
64,601,156,49000,2.0,201.43684820393972,2,0.0,1.0,8.0,0.0,0.0,201.43684820393972,86.0,3.0,5,0.0
65,582,156,49000,1.0,201.43684820393972,1,0.0,0.0,0.0,0.0,0.0,201.43684820393972,35.0,3.0,5,0.0
66,1607,156,49000,3.0,12.0,1,0.0,0.0,0.0,0.0,0.0,12.0,60.0,2.0,3,0.0
67,1117,156,49000,2.0,65.0,1,0.0,0.0,0.0,0.0,0.0,65.0,700.0,4.0,5,0.0
68,643,66,49000,1.0,79.0,2,0.0,0.0,0.0,0.0,0.0,79.0,253.0,4.0,4,0.0
69,1777,423,49000,2.0,34.0,1,0.0,0.0,0.0,0.0,0.0,34.0,34.0,2.0,6,0.0
70,1062,156,49000,2.0,42.0,3,0.0,0.0,0.0,1.0,998.0,42.0,1004.0,4.0,4,0.0
71,1574,156,49000,2.0,201.43684820393972,2,0.0,0.0,0.0,1.0,270.0,201.43684820393972,270.0,2.0,6,0.0
72,1238,156,49000,1.0,75.0,2,0.0,0.0,0.0,0.0,0.0,75.0,75.0,3.0,6,0.0
73,1100,18,49000,1.0,201.43684820393972,1,0.0,0.0,0.0,0.0,0.0,201.43684820393972,201.43684820393972,2.0,6,0.0
74,1777,236,49500,2.0,201.43684820393972,1,0.0,0.0,0.0,0.0,0.0,201.43684820393972,201.43684820393972,2.0,6,0.0
75,1469,156,49500,2.0,201.43684820393972,1,0.0,0.0,0.0,0.0,0.0,201.43684820393972,201.43684820393972,2.0,2,0.0
76,1162,18,49500,1.0,48.0,1,0.0,0.0,0.0,0.0,0.0,48.0,48.0,2.0,6,0.0
77,678,156,49500,2.0,116.0,1,0.0,1.0,16.0,0.0,0.0,116.0,147.0,2.0,4,0.0
78,1072,423,49999,1.0,201.43684820393972,1,0.0,0.0,0.0,0.0,0.0,201.43684820393972,201.43684820393972,2.0,1,0.0
79,961,82,50000,2.0,76.0,3,0.0,0.0,0.0,1.0,500.0,76.0,500.0,2.0,4,0.0
80,667,156,50000,2.0,82.0,1,0.0,0.0,0.0,0.0,0.0,82.0,221.0,2.0,4,0.0
81,564,156,50000,2.0,201.43684820393972,1,0.0,0.0,0.0,1.0,90.0,201.43684820393972,174.0,2.0,4,0.0
82,1571,156,50000,2.0,136.0,1,0.0,0.0,0.0,0.0,0.0,136.0,320.0,3.0,4,0.0
83,697,156,50000,3.0,140.0,1,0.0,0.0,0.0,0.0,0.0,140.0,279.0,2.0,4,0.0
84,1566,156,50000,2.0,70.0,3,0.0,0.0,0.0,0.0,0.0,70.0,200.0,2.0,4,0.0
85,693,156,50000,3.0,201.43684820393972,1,0.0,0.0,0.0,0.0,0.0,201.43684820393972,89.0,2.0,4,0.0
86,1381,156,50000,1.0,89.0,1,0.0,0.0,0.0,0.0,0.0,89.0,5.0,2.0,4,0.0
87,255,423,50000,1.0,59.0,1,0.0,0.0,0.0,0.0,0.0,59.0,59.0,2.0,6,0.0
88,582,272,50000,2.0,108.0,2,0.0,0.0,0.0,0.0,0.0,108.0,120.0,2.0,4,0.0
89,39,18,50000,2.0,201.43684820393972,1,0.0,0.0,0.0,0.0,0.0,201.43684820393972,201.43684820393972,2.0,6,0.0
90,395,18,50000,1.0,201.43684820393972,2,0.0,0.0,0.0,0.0,0.0,201.43684820393972,201.43684820393972,2.0,6,0.0
91,1588,156,50000,1.0,72.0,1,0.0,0.0,0.0,0.0,0.0,72.0,72.0,2.0,4,0.0
